"","J12_GZP5_plus","J2_WT2_minus","J28_WT_minus_B","J29_WT_plus_A","J3_WT3_minus","J31_GZP_plus_A","J32_GZP_plus_B","J4_GZP1_minus","J5_GZP2_minus","J6_GZP3_minus","J8_WT4_plus","J9_WT5_plus"
"1617.00_02533",11,13,5,3,10,8,7,13,7,4,11,11
"1617.00_02534",262,626,375,386,568,404,284,606,375,485,309,247
"1617.00_02535",19,6,6,9,3,10,4,8,4,12,3,8
"1617.00_02536",2,5,3,1,4,5,3,4,2,2,5,1
"1617.00_02537",2,0,7,9,5,6,11,9,4,5,9,10
"1617.00_02538",204,38,184,243,247,327,232,335,225,257,256,243
"1617.00_02539",10,2,12,12,18,18,18,26,12,11,10,20
"1617.00_02540",17,0,17,7,17,14,11,28,12,21,14,22
"1617.00_02541",58,55,32,41,64,55,30,51,43,51,48,43
"1617.00_02542",5,3,1,0,1,0,0,3,2,1,1,3
"1617.00_02543",3,0,1,0,4,0,1,3,0,2,1,10
"1617.00_02544",33,16,19,25,25,22,18,33,12,27,22,32
"1617.00_02545",39,22,19,28,26,32,27,49,28,47,20,22
"1617.00_02546",27566,17559,31485,40838,37196,42927,28644,45979,26903,34552,38992,35499
"1617.00_02547",1192,3911,1524,1553,1958,2083,1236,2128,1522,1993,958,912
"1617.00_02548",238,324,177,219,298,353,218,330,262,328,164,158
"1617.00_02549",258,591,205,171,311,351,230,381,276,371,179,178
"1617.00_02550",4,11,7,14,10,12,10,11,9,14,15,12
"1617.00_02551",16,25,16,16,12,11,17,28,20,21,10,14
"1617.00_02552",6,14,2,10,8,9,3,4,7,11,13,2
"1617.00_02553",7,11,13,18,11,11,11,25,6,8,16,10
"1617.00_02554",13,22,10,14,21,22,8,21,10,23,21,23
"1617.00_02555",3,0,2,0,1,3,0,0,2,2,0,2
"1617.00_02556",11,4,6,4,3,5,4,10,3,4,5,9
"1617.00_02557",6,0,0,3,3,3,0,3,4,1,2,5
"1617.00_02558",4,5,8,5,5,3,2,2,1,2,2,3
"1617.00_02559",1273,2682,1044,1251,1494,1474,989,1691,1207,1513,977,914
"1617.00_02560",2,3,2,4,2,1,1,2,1,3,0,3
"1617.00_02561",14,15,15,15,14,16,9,19,20,19,14,9
"1617.00_02562",265,341,304,294,422,355,213,459,285,413,255,217
"1617.00_02563",5,13,1,2,6,3,3,1,3,6,0,1
"1617.00_02564",1,3,1,7,1,1,0,4,0,3,2,2
"1617.00_02565",73,74,39,51,67,54,30,73,59,74,73,75
"1617.00_02566",22,22,12,17,20,19,14,22,19,24,14,18
"1617.00_02567",328,563,294,331,390,409,244,504,340,427,301,265
"1617.00_02568",497,374,198,271,327,262,176,429,257,375,372,314
"1617.00_02569",1672,1375,817,1064,1371,1006,803,1759,998,1478,1352,1341
"1617.00_02570",464,258,305,283,392,328,209,462,304,415,269,273
"1617.00_02571",98,74,35,32,49,52,39,70,52,89,51,65
"1617.00_02572",60,29,14,23,33,23,25,46,39,51,40,38
"1617.00_02573",12,8,3,4,4,7,8,11,4,8,11,11
"1617.00_02574",351,132,66,115,141,110,76,202,96,152,291,311
"1617.00_02575",404,112,101,145,204,172,134,256,151,238,322,347
"1617.00_02576",666,520,464,373,661,629,423,808,449,657,458,441
"1617.00_02577",73,28,30,33,36,45,21,62,36,58,84,91
"1617.00_02578",172,52,90,129,129,126,92,169,98,143,190,196
"1617.00_02579",16,11,7,8,17,12,6,7,8,13,17,12
"1617.00_02580",494,182,180,340,282,230,202,410,254,343,610,754
"1617.00_02581",507,305,184,302,290,281,209,405,258,343,452,443
"1617.00_02582",304,294,158,218,304,410,239,361,258,318,280,237
"1617.00_02583",102,112,62,82,85,58,45,107,70,63,148,133
"1617.00_02584",39,20,27,35,31,52,19,32,23,28,30,34
"1617.00_02585",240,87,103,110,126,134,107,206,113,158,233,265
"1617.00_02586",727,583,281,510,494,384,265,686,383,540,737,713
"1617.00_02587",483,299,157,312,271,223,182,394,215,301,483,510
"1617.00_02588",279,107,122,207,198,147,116,288,180,204,258,283
"1617.00_02589",579,361,627,1083,811,768,482,980,549,748,938,990
"1617.00_02590",322,205,206,327,274,231,165,376,160,258,395,361
"1617.00_02591",465,352,267,391,394,314,222,530,334,409,507,530
"1617.00_02592",989,586,278,692,567,467,286,808,485,699,1613,1636
"1617.00_02593",1147,599,544,1159,842,739,582,1101,619,1011,1566,1523
"1617.00_02594",1309,956,891,1483,1557,1225,830,1910,1135,1534,1876,1777
"1617.00_02595",122,49,18,65,58,61,30,85,53,64,144,127
"1617.00_02596",126,53,51,68,71,72,41,113,64,72,150,153
